idx,cid,state,girl_dialog,switch_1,switch_2,girl_dialog_after_switch1,girl_dialog_after_switch2,sound,sound_after_switch1,sound_after_switch2,award,favorability
331,2080,3,"Who do you prefer, Zodiac Tiger or me?",Of course it's you.,Hmm... want to take a guess?,I think everyone prefers a tender girl like me.,I am sure it's me! I can see it in your eyes.,,,,,10
332,2080,1,Are you interested in running? Let's have a race!,Racing with you? A rabbit? A big no!,Sure. Want to take a bet?,"Of course you wouldn't dare to race with me, since I am the fastest of the fast.","Well, if you lose, you gotta to take me to a date.",,,,,10
333,2081,4,Why does everybody think I am a dangerous woman?,Because you are charming.,Because you have great power.,"It seems that everyone thinks the more charming a woman is, the more dangerous she is!","But I would prefer for people to feel admiration towards me, rather than fear.",,,,,10
334,2081,5,What is the most wonderful thing in the world? Power or Love?,I think it is power!,I think love prevails all.,"I had supreme power over the whole of Egypt a long time ago, but I never felt happy back then.",Then I want a taste of love.,,,,,10
335,2081,2,I have always believed that hatred makes one more powerful.,Hatred can indeed stimulate power inside one's body.,But hatred can easily make people lose their rationality.,Then I am more certain that avenging my father was the right choice!,Thank you for reminding me of that. I will try not to let hatred consume me.,,,,,10
336,2081,2,"As the ruler of ancient Egypt, I always put my people first.",You should think about yourself more.,You are an admirable queen!,You are the first person to tell me that. Thank you.,Being recognized like that makes me happy.,,,,,10
337,2081,1,What is your first impression of the God of ancient Egypt?,Full of mystery.,Beautiful and dignified.,"Being mysterious will prevent the enemy from knowing your next moves! But I don't have to hide in front of you, right?","This is a very high compliment, and I like it.",,,,,10
338,2081,1,Why do people always feel that charm cannot coexist with power?,Maybe it's because they fear the one who has it all.,"Because they haven't met you, the embodiment of both charm and power.",Is that so? Then they are being narrowminded. My power is used to protect my people.,Is that so? Well I am confident in both my charm and my power.,,,,,10
339,2082,1,"Of the two most charming goddesses of the Nordic region, who would you favor more, Freyja or me?","Of course, it’s you!",Hmm... want to take a guess?,"Really? Is that the truth, or are you lying?","Hmm, you seem to hesitate. Would you rather become fertilizer in my rose garden.",,,,,10
340,2082,5,Nordic gods often say love involves blind sacrifices. Is that so?,I don’t think it necessarily is.,I really think so.,But isn’t love without sacrifice less genuine?,"So, what would you sacrifice for me?",,,,,10
341,2082,1,I heard that watering roses with the blood of a loved one bestows them with powerful magic…,I’ve heard such rumors as well!,It sounds like a myth to me.,So guess what exciting thing I am about to do next…,Interesting! Shall we test it?,,,,,10
342,2082,1,I enjoy watching things wilt. The end result reminds me of roses smashed by a hammer. Beauty can be found even in its own destruction.,Thor would probably feel the same.,That sounds a bit disturbing…,"As a child, she enjoyed playing with me. I taught her a lot about wielding a hammer.","Hmph, after witnessing me pulverizing monsters on the battlefield, I believe you would understand.",,,,,10
343,2082,3,"I’ve heard that Venus has quite some views on love, I’d like to meet her.",I have a bad feeling about this…,Maybe that’s a good idea.,"As a child, she enjoyed playing with me. I taught her a lot about wielding a hammer.","I think so too, at least as a goddess of love, she would understand my philosophy of love.",,,,,10
344,2082,2,"I love adorable and beautiful things, so much that I want to crush them all…",Have you ever looked in the mirror?,Er… the same goes for me?,"Are you asking if I’ve had the same thought about myself? Indeed, I have…","You guessed it. I indeed want to hold you tight in my arms, relishing in your slow suffocation…",,,,,10
345,2083,2,"The legions of Sparta will, under my leadership, conquer all of Greece sooner or later!",I doubt Athena would see it that way.,Do you need my assistance?,"I couldn't care less about her. If she still considers herself a warrior, she should face me in open battle!","Hmph, you may not look like much of a fighter, but I respect your courage and determination as a warrior.",,,,,10
346,2083,2,"As a formidable warrior, one must train at least twelve hours a day!",And what about the rest of the time?,Isn't that a bit excessive?,"Off to the tavern for a drink, or perhaps to the arena for a brawl. Of course, marching with my army to give Athena a little shock wouldn't be too bad either.","Trust me, once you've faced setbacks on the battlefields of Troy, you wouldn't think that way.",,,,,10
347,2083,1,"One day, I'll prove to everyone that Ares is the only one deserving of the title 'God of War'.",Are you that concerned with a title?,I believe you'll achieve it in time.,"Of course! Titles represent honor, and honor is the only true testament of a warrior's existence.","Hmph, you have a good eye. With someone as wise and brave as you by my side, it won't take long to dominate all the pantheons.",,,,,10
348,2083,1,"I must have the final say in everything, even in love. It should be on my terms!",Do you even understand the meaning of love?,Perhaps you're right.,"Ah, that's quite the question. I think it'd be best discussed with you, privately in a room tonight...","Of course, all my lover needs to do is lay in my arms or lean on my shoulder.",,,,,10
349,2083,1,"Once, during a showcase in the realm of the gods, when it was my turn, I went on stage and brawled with every guest.",That's hardly a performance.,That must have been quite the spectacle...,"Really? Well, what else would you expect the God of War to showcase apart from fighting?",The highlight? I personally gave Hera a 'new hairstyle'.,,,,,10
350,2083,1,Hahaha! Do you think there's a need for a signature victory pose for my warriors?,Doesn't seem necessary.,Absolutely! I'd love to see that!,"Hmm, you might be right. After all, the valor of our warriors already leaves a lasting impression on our foes.","How about this? After a victory, they shout 'This is Sparta!' and then kick the enemy away. How's that for an idea?",,,,,10
351,2084,2,Don't you think quietly appreciating a dancer's graceful feet is a unique pleasure?,Exactly.,I don’t think so…,What I'm looking forward to more is the day you will help me put on my dance shoes…,Really? Then tell me... where is your gaze settling on me now?,,,,,10
352,2084,2,"All gods pursue power and authority, but I’m just a dancer. All I seek is to pursue the pinnacle of dance skills.",I like you for being so pure.,Dancers also need to protect themselves.,"I like this version of myself too. After all, power and authority ultimately fade with time.","I believe that when faced with danger, you will protect me, won't you?",,,,,10
353,2084,1,"Ever since the day we crossed paths, I've been itching to be by your side...",I hope for that too.,I don't want to be a burden to you.,"Then maybe I should slow down, in both battles and in our life, so you can keep up with my pace.","If this 'burden' can bring me happiness, then it's not a bad thing, don't you think?",,,,,10
354,2084,1,How do you view the rulers of the divine realm and the underworld?,There's not much difference between the two...,At least the gods have principles.,Hmm... I agree. What the gods do is essentially just satisfying their own desires.,"However, I've encountered many demons, and they are also very honorable. At least, they won't treat me differently because of my identity.",,,,,10
355,2084,1,"I don't wish for the gods to impose eternal imprisonment on sinners. After all, there's hardly a sin that cannot be forgiven...",It's rare to hear you think this way.,I don't think so.,"Hmm... because compared to the pain of eternal imprisonment, death might be a kind of release","Perhaps, but those sentenced to eternal imprisonment are not easy to deal with...",,,,,10
356,2084,1,"As a hybrid of god and demon, do you think I resemble an angel... or a demon more?",You look quite demonic.,You're still an Angel at heart.,"Ah, I see. It seems I need to prove that notion to you tonight..","Is that so? Well, maybe after spending a night with me tonight, you might change your mind.",,,,,10
